id,value,display,unit,source,usedIn,hasConflict,note
"years","31年/30多年","31年一线抢修","年","新华网专题、新华社","开屏、第一幕","false","不同报道存在“30多年”的概括写法，成片主展示采用更具体的31年。"
"mileage","8万多公里","巡线8万+公里","公里","新华社、新华网","开屏、第一幕","false","用于抽象累积路径，不绘制真实GIS轨迹。"
"repairs","近2万次","近2万次抢修","次","新华社、工人日报","开屏、第一幕","false","与停送电操作等表述可能合并出现，页面用“抢修与停送电操作”规避误读。"
"drawings","1500多张","1500+张线路图","张","工人日报、新华网","第一幕","false","用资料墙视觉表达，不展示真实图纸原件。"
"innovations","400余项","400+项技术革新","项","新华社、工人日报","开屏、第三幕","false","技术革新作为创新矩阵核心数字。"
"patents","140多个 / 158项","140余项专利","项","工人日报、新华网","第三幕、数据备注","true","专利数存在口径不一：部分报道为140多个，部分报道为158项；页面仅作备注，不与其他口径混算。"
"timeSaving","45分钟→8分钟","抢修时间缩短约82.2%","分钟","工人日报、新华网","第二幕","false","按(45-8)/45计算，四舍五入到一位小数。"
"robotUse","20省；7亿元；1.7万次","机器人应用数据需按统计时点标注","组","新华网、共产党员网","第四幕","true","机器人推广省份与产业化数据受统计时点影响，页面采用“报道口径”备注，不绘制具体省份清单。"
"communityLight","37栋/148楼道/2000+户；后续累计400+楼道/4000+户","148个黑楼道被点亮","组","工人日报、求是网","第五幕","true","148楼道与400+楼道属于不同统计阶段，页面提供口径切换说明，不混作同一时间点。"
"legacyScale","63工作室；2000+创客；30分队；400+队员","一个创新者带出更多人","组","共产党员网","第六幕","false","用于扩散网络图，表达经验—方法—队伍三层扩散。"
